"user_id","sex","age","trait","lab","country","trials","stim_n"
"1",8906,"m","25","trustworthy","MEX_002","MX",120,120
"2",9010,"m","25","aggressive","MEX_002","MX",120,120
"3",9011,"m","52","emostable","MEX_002","MX",120,120
"4",9013,"f","27","mean","MEX_002","MX",120,120
"5",9014,"m","22","dominant","MEX_002","MX",120,120
"6",9015,"m","23","sociable","MEX_002","MX",120,120
"7",9018,"f","44","aggressive","MEX_002","MX",120,120
"8",9020,"m","21","emostable","MEX_002","MX",120,120
"9",9022,"m","30","mean","MEX_002","MX",120,120
"10",9023,"m","41","sociable","MEX_002","MX",120,120
"11",9024,"m","23","caring","MEX_002","MX",120,120
"12",9027,"f","24","dominant","MEX_002","MX",120,120
"13",9028,"m","20","intelligent","MEX_002","MX",120,120
"14",9030,"m","25","unhappy","MEX_002","MX",120,120
"15",9032,"m","23","trustworthy","MEX_002","MX",120,120
"16",9035,"m","28","trustworthy","MEX_002","MX",120,120
"17",9036,"m","40","mean","MEX_002","MX",120,120
"18",9039,"m","46","intelligent","MEX_002","MX",120,120
"19",9044,"m","66","old","MEX_002","MX",120,120
"20",9049,"m","37","caring","MEX_002","MX",120,120
"21",9050,"m","16","caring","MEX_002","MX",120,120
"22",9051,"NA","NA","aggressive","MEX_002","NA",120,120
"23",9052,"m","37","caring","MEX_002","MX",120,120
"24",9053,"f","12","trustworthy","MEX_002","MX",120,120
"25",9054,"m","25","aggressive","MEX_002","MX",120,120
"26",9055,"m","33","dominant","MEX_002","MX",120,120
"27",9058,"f","25","old","MEX_002","MX",120,120
"28",9060,"m","49","dominant","MEX_002","MX",120,120
"29",9061,"f","51","caring","MEX_002","MX",120,120
"30",9062,"m","45","attractive","MEX_002","MX",120,120
"31",9063,"m","50","caring","MEX_002","MX",120,120
"32",9064,"m","47","mean","MEX_002","MX",120,120
"33",9068,"m","51","dominant","MEX_002","MX",120,120
"34",9069,"f","36","trustworthy","MEX_002","MX",120,120
"35",9070,"m","28","aggressive","MEX_002","MX",120,120
"36",9071,"m","38","dominant","MEX_002","MX",120,120
"37",9081,"m","34","responsible","MEX_002","MX",120,120
"38",9082,"f","22","intelligent","MEX_002","MX",120,120
"39",9083,"f","46","caring","MEX_002","MX",120,120
"40",9135,"f","21","intelligent","MEX_002","MX",120,120
"41",9187,"f","39","old","MEX_002","MX",120,120
"42",9293,"f","23","responsible","MEX_002","MX",120,120
"43",9394,"f","20","intelligent","MEX_002","MX",120,120
"44",9396,"m","24","intelligent","MEX_002","MX",120,120
"45",9397,"m","21","mean","MEX_002","MX",120,120
"46",9399,"m","22","unhappy","MEX_002","MX",120,120
"47",9400,"f","22","attractive","MEX_002","MX",120,120
"48",9402,"m","23","emostable","MEX_002","MX",120,120
"49",9405,"m","22","intelligent","MEX_002","MX",120,120
"50",9427,"f","24","emostable","MEX_002","MX",120,120
"51",9430,"f","29","old","MEX_002","MX",120,120
"52",9491,"m","22","dominant","MEX_002","MX",120,120
"53",9493,"f","23","intelligent","MEX_002","MX",120,120
"54",9496,"f","21","confident","MEX_002","MX",120,120
"55",10150,"f","21","mean","MEX_002","MX",120,120
"56",10387,"m","22","trustworthy","MEX_002","MX",120,120
"57",11281,"f","31","trustworthy","MEX_002","MX",120,120
"58",11282,"f","29","aggressive","MEX_002","MX",120,120
"59",11283,"m","28","responsible","MEX_002","MX",120,120
"60",11284,"m","36","intelligent","MEX_002","MX",120,120
"61",11286,"m","34","mean","MEX_002","MX",120,120
"62",11287,"m","22","emostable","MEX_002","MX",120,120
"63",12059,"f","19","confident","MEX_002","MX",120,120
"64",12061,"f","22","trustworthy","MEX_002","MX",120,120
"65",12071,"f","23","sociable","MEX_002","MX",120,120
"66",12072,"f","24","intelligent","MEX_002","MX",120,120
"67",12073,"f","23","unhappy","MEX_002","MX",120,120
"68",12074,"f","27","mean","MEX_002","MX",120,120
"69",12121,"m","23","responsible","MEX_002","MX",120,120
"70",12131,"f","22","caring","MEX_002","MX",120,120
"71",12189,"m","23","sociable","MEX_002","MX",120,120
"72",12216,"f","21","emostable","MEX_002","MX",120,120
"73",12217,"m","23","responsible","MEX_002","MX",120,120
"74",12228,"f","23","trustworthy","MEX_002","MX",120,120
"75",12229,"f","23","sociable","MEX_002","MX",120,120
"76",12231,"m","18","aggressive","MEX_002","MX",120,120
"77",12233,"f","53","weird","MEX_002","MX",120,120
"78",12234,"m","23","aggressive","MEX_002","MX",120,120
"79",12235,"f","23","confident","MEX_002","MX",120,120
"80",12236,"m","24","confident","MEX_002","MX",120,120
"81",12237,"f","22","dominant","MEX_002","MX",120,120
"82",12238,"m","22","unhappy","MEX_002","MX",120,120
"83",12239,"f","23","mean","MEX_002","MX",120,120
"84",12241,"f","21","responsible","MEX_002","MX",120,120
"85",12242,"m","24","intelligent","MEX_002","MX",120,120
"86",12257,"f","23","unhappy","MEX_002","MX",120,120
"87",12260,"f","22","mean","MEX_002","MX",120,120
"88",12267,"f","22","intelligent","MEX_002","MX",120,120
"89",12281,"m","23","sociable","MEX_002","MX",120,120
"90",12383,"m","17","dominant","MEX_002","MX",120,120
"91",12384,"m","21","old","MEX_002","MX",120,120
"92",12385,"m","22","sociable","MEX_002","MX",120,120
"93",12560,"f","22","aggressive","MEX_002","MX",120,120
"94",12561,"f","22","attractive","MEX_002","MX",120,120
"95",12562,"f","21","dominant","MEX_002","MX",120,120
"96",12958,"m","22","weird","MEX_002","MX",120,120
"97",13106,"f","NA","confident","MEX_002","MX",120,120
"98",13107,"f","20","trustworthy","MEX_002","MX",120,120
"99",13108,"m","22","dominant","MEX_002","MX",120,120
"100",13121,"m","23","trustworthy","MEX_002","MX",120,120
"101",13123,"m","25","weird","MEX_002","MX",120,120
"102",13124,"m","26","confident","MEX_002","MX",120,120
"103",13215,"f","21","unhappy","MEX_002","MX",120,120
"104",13325,"f","20","dominant","MEX_002","MX",120,120
"105",13328,"m","34","caring","MEX_002","MX",120,120
"106",13330,"f","28","old","MEX_002","MX",120,120
"107",13368,"f","23","caring","MEX_002","MX",120,120
"108",13370,"f","22","dominant","MEX_002","MX",120,120
"109",13415,"m","22","caring","MEX_002","MX",120,120
"110",13416,"f","24","dominant","MEX_002","MX",120,120
"111",13418,"f","24","dominant","MEX_002","MX",120,120
"112",13422,"f","23","confident","MEX_002","MX",120,120
"113",13423,"m","22","emostable","MEX_002","MX",120,120
"114",13424,"f","24","weird","MEX_002","MX",120,120
"115",13425,"m","20","aggressive","MEX_002","MX",120,120
"116",13426,"f","23","weird","MEX_002","MX",120,120
"117",13427,"m","23","responsible","MEX_002","MX",120,120
"118",13439,"m","26","emostable","MEX_002","MX",120,120
"119",13493,"f","23","responsible","MEX_002","MX",120,120
"120",13494,"f","23","trustworthy","MEX_002","MX",120,120
"121",13513,"f","22","caring","MEX_002","MX",120,120
"122",13522,"f","14","weird","MEX_002","MX",120,120
"123",13525,"m","24","attractive","MEX_002","MX",120,120
"124",13529,"m","24","old","MEX_002","MX",120,120
"125",13986,"m","22","unhappy","MEX_002","MX",120,120
"126",14003,"m","23","sociable","MEX_002","MX",120,120
"127",14006,"m","22","dominant","MEX_002","MX",120,120
"128",14007,"m","17","mean","MEX_002","MX",120,120
"129",14135,"f","23","emostable","MEX_002","MX",120,120
"130",14144,"f","22","caring","MEX_002","MX",120,120
"131",14153,"f","22","attractive","MEX_002","MX",120,120
"132",14188,"f","24","aggressive","MEX_002","MX",120,120
"133",14273,"f","23","aggressive","MEX_002","MX",120,120
"134",14274,"m","23","old","MEX_002","MX",120,120
"135",14297,"m","22","unhappy","MEX_002","MX",120,120
"136",14363,"m","25","trustworthy","MEX_002","MX",120,120
"137",14376,"f","20","sociable","MEX_002","MX",120,120
"138",14395,"m","25","sociable","MEX_002","MX",120,120
"139",14497,"f","23","intelligent","MEX_002","MX",120,120
"140",14498,"m","30","responsible","MEX_002","MX",120,120
"141",14594,"f","22","sociable","MEX_002","MX",120,120
"142",14595,"m","25","trustworthy","MEX_002","MX",120,120
"143",14609,"m","23","sociable","MEX_002","MX",120,120
"144",14644,"m","28","intelligent","MEX_002","MX",120,120
"145",14645,"m","19","emostable","MEX_002","MX",120,120
"146",14646,"m","23","unhappy","MEX_002","MX",120,120
"147",14647,"f","20","unhappy","MEX_002","MX",120,120
"148",14648,"m","21","confident","MEX_002","MX",120,120
"149",14649,"f","17","intelligent","MEX_002","MX",120,120
"150",14650,"f","17","old","MEX_002","MX",120,120
"151",14651,"f","25","intelligent","MEX_002","MX",120,120
"152",14652,"m","23","confident","MEX_002","MX",120,120
"153",14654,"m","27","confident","MEX_002","MX",120,120
"154",14733,"f","30","unhappy","MEX_002","MX",120,120
"155",14745,"f","19","intelligent","MEX_002","MX",120,120
"156",14746,"f","21","old","MEX_002","MX",120,120
"157",14747,"f","20","dominant","MEX_002","MX",120,120
"158",14763,"f","27","aggressive","MEX_002","MX",120,120
"159",14774,"f","22","old","MEX_002","MX",120,120
"160",14831,"m","23","caring","MEX_002","MX",120,120
"161",14877,"m","22","mean","MEX_002","MX",120,120
"162",14878,"f","20","old","MEX_002","MX",120,120
"163",14882,"m","21","old","MEX_002","MX",120,120
"164",14886,"m","18","dominant","MEX_002","MX",120,120
"165",14973,"f","22","sociable","MEX_002","MX",120,120
"166",14977,"f","18","dominant","MEX_002","MX",120,120
"167",14983,"f","18","sociable","MEX_002","MX",120,120
"168",14985,"m","31","caring","MEX_002","MX",120,120
"169",15097,"m","22","attractive","MEX_002","MX",120,120
"170",15127,"m","26","emostable","MEX_002","MX",120,120
"171",15181,"f","30","confident","MEX_002","MX",120,120
"172",15183,"f","23","caring","MEX_002","MX",120,120
"173",15184,"m","22","attractive","MEX_002","MX",120,120
"174",15185,"f","23","intelligent","MEX_002","MX",120,120
"175",15186,"f","18","attractive","MEX_002","MX",120,120
"176",15188,"m","21","attractive","MEX_002","MX",120,120
"177",15225,"f","16","unhappy","MEX_002","MX",120,120
"178",15238,"f","21","caring","MEX_002","MX",120,120
"179",15242,"f","23","dominant","MEX_002","MX",120,120
"180",15340,"f","20","emostable","MEX_002","MX",120,120
"181",15341,"m","NA","attractive","MEX_002","MX",120,120
"182",15343,"m","23","weird","MEX_002","MX",120,120
"183",15437,"m","23","weird","MEX_002","MX",120,120
"184",15470,"m","NA","old","MEX_002","MX",120,120
"185",15472,"m","25","mean","MEX_002","MX",120,120
"186",15473,"f","23","sociable","MEX_002","MX",120,120
"187",15478,"f","22","intelligent","MEX_002","MX",120,120
"188",15484,"f","21","sociable","MEX_002","MX",120,120
"189",15485,"f","21","emostable","MEX_002","MX",120,120
"190",15486,"f","21","intelligent","MEX_002","MX",120,120
"191",15990,"f","21","responsible","MEX_002","MX",120,120
"192",15991,"f","21","confident","MEX_002","MX",120,120
"193",15992,"f","21","attractive","MEX_002","MX",120,120
"194",15993,"m","21","trustworthy","MEX_002","MX",120,120
"195",16045,"f","22","caring","MEX_002","MX",120,120
"196",16046,"f","22","old","MEX_002","MX",120,120
"197",16047,"f","20","responsible","MEX_002","MX",120,120
